x,y,z
10393,13049,598.44
9720,12673,604.59
9507,12850,605.54
10373,13205,597.82
10290,13770,606.81
10187,13388,600.86
10372,13126,598.36
9622,13626,608.15
9637,13290,605.76
9962,13887,608.36
9968,12970,602.2
10924,13428,601.84
9644,12852,605.16
10187,13725,606.13
10070,13952,608.43
10185,12729,600.96
10776,13536,603.39
9902,13304,602.9
10781,13770,606.84
10523,12908,600.34
10630,13929,607.88
9769,13293,604.23
9670,13730,609.13
10954,12679,599.75
10456,13339,600.23
10123,13733,606.42
9803,13515,604.63
9738,13681,607.9
9700,12880,604.94
9528,12720,604.84
10465,13748,606.42
10519,13296,600.33
10697,14063,608.33
10520,13622,604.93
9717,13487,605.76
10145,13597,604.99
10832,13629,604.41
9522,13690,609.41
10825,12965,598.96
10866,13680,605.59
10836,13883,607.55
9931,13004,602.52
10238,12849,600.05
10141,12798,601.08
10434,13081,598.51
10058,13905,608.11
10932,12772,599.74
10286,12864,599.93
10366,13060,598.56
10311,13079,598.87
10707,13949,608.35
10101,13668,606
10587,13725,606.01
10719,12797,599.54
9515,14064,614.46
9737,13771,609.14
10907,13972,607.52
9599,13324,605.93
9683,13907,612.5
9578,14092,613.83
10786,13824,607.36
9894,13671,606.61
10791,13400,601.59
10621,13125,599.14
9726,13461,605.25
9619,12796,604.89
10735,13174,600.24
9996,13995,609.11
9784,13079,604.23
10567,13025,598.39
10092,13273,600.55
10958,13676,604.98
10223,12868,599.99
9912,12671,603.42
9602,12925,605.34
9955,12888,602.5
10567,13986,608.11
10392,13103,598.44
10704,13059,598.18
10570,13818,606.75
10302,13994,608.53
9708,13956,612.65
10249,13403,600.73
10373,13822,606.99
9981,13173,601.73
9520,12946,605.73
10529,12818,600.48
10897,13724,605.87
9805,13191,603.92
9557,13526,607.8
10097,13434,602.24
10277,12706,600.78
10369,13788,606.89
10218,13969,608.37
10039,13478,603.27
9650,13586,607.83
10593,14022,608.18
10716,13601,605.05
10025,13945,608.49
9852,13192,603.74
