"shapefilename","var","value"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","New_name","168"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Deleted_name","0"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Modified_name","14"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Empty_name","0"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Same_name","3409"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Wikidataid_redirected","0"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Wikidataid_notfound","0"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Wikidataid_null","0"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Wikidataid_notnull","171"
"./110m_cultural/ne_110m_admin_0_sovereignty.shp","Wikidataid_badformated","0"
